Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
Shoba Enclave,₹ 749,Kalyan Nagar | 4.0 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 754 Off,4.4, (Very Good),128.0,33%,"['Lounge', 'Free Parking', 'Vehicle Rentals']",Bangalore,9-8-2021,11-8-2021
The Citrine Hotel - Seshadripuram,"₹ 2,538",Sheshadripuram | 1.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 648 Off,4.5, (Excellent),586.0,16%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
Adarsh Hamilton,"₹ 3,290",Richmond road | 1.7 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,4.0, (Very Good),408.0,20%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
The Elanza Hotel,"₹ 1,880",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 479 Off,4.0, (Very Good),207.0,38%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
Gardeenia Comfortes Suites,"₹ 1,397",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 678 Off,4.3, (Very Good),301.0,6%,"['Yoga', 'Indoor Games', 'Outdoor Sports']",Bangalore,9-8-2021,11-8-2021
Capital O 75224 Nandhana Comforts,"₹ 1,500",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,4.4, (Very Good),571.0,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,9-8-2021,11-8-2021
MGM Mark Whitefield,"₹ 1,368",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 664 Off,4.1, (Very Good),990.0,25%,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Empire International Church Street,"₹ 1,343",Church Street | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 342 Off,3.9, (Good),277.0,32%,"['Business Centre', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,9-8-2021,11-8-2021
Temple Tree Hotel - Wilson Garden,"₹ 1,879",Mavalli | 4.4 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 479 Off,4.6, (Excellent),10.0,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Capital O 490 Hotel Compact Maple Leaf,"₹ 1,674",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 414 Off,4.4, (Very Good),540.0,49%,"['Tours and Treks', 'Conference Room', 'ATM']",Bangalore,9-8-2021,11-8-2021
"Fortune Select Trinity Whitefield, Bengaluru-Member ITC Hotel Group","₹ 1,498",Brookefield,,4.1, (Very Good),586.0,34%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Blupetal - A Business Hotel,"₹ 2,162",Koramangala | 4.2 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 552 Off,4.1, (Very Good),478.0,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
The Oterra Bangalore,"₹ 5,622",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,3.8, (Good),163.0,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Hotel Swagath,"₹ 1,187",Chickpete | 740 m from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 737 Off,3.7, (Good),547.0,45%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9-8-2021,11-8-2021
OYO Townhouse 180 Jayanagar,"₹ 1,454",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 359 Off,4.6, (Excellent),307.0,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,9-8-2021,11-8-2021
The Windflower Resorts & Spa,"₹ 6,800",Navarathna Agrahara | 32.9 km from city centre12.9 km from Kempegowda Airport,,4.6, (Excellent),27.0,14%,"['Kids Play Area', 'Outdoor Sports', 'Lawn']",Bangalore,9-8-2021,11-8-2021
Hotel Bangalore Gate,"₹ 2,507",Chickpete | 1.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1217 Off,4.1, (Very Good),326.0,40%,"['Free Parking', 'Bonfire', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
DoubleTree Suites by Hilton Bangalore,"₹ 2,494",HSR Layout,,3.3, (Good),128.0,51%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,9-8-2021,11-8-2021
SS Lumina Hotel,"₹ 1,091",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 529 Off,4.1, (Very Good),641.0,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Angsana Oasis Spa & Resorts,"₹ 6,750",Addevishvanathapura | 27.4 km from city centre,,4.0, (Very Good),216.0,24%,"['Free Parking', 'Kids Play Area', 'Childcare Services']",Bangalore,9-8-2021,11-8-2021
Mango Hotels - Purple Brigade,"₹ 2,394",Church Street | 360 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1856 Off,4.5, (Excellent),324.0,,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
Renaissance Bengaluru Race Course Hotel,"₹ 4,276",Gandhi Nagar | 2.2 km from Kempegowda Bus Station,,4.2, (Very Good),70.0,43%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
